Nombre_Empleado,Apellido_Empleado,Nombre_Completo,Genero,Cargo,Nivel cargo,Edad ,Ubicacion,Modalidad, Salario , Estado Civil , Telefono , Contrato Indefinido 
LIAM,SMITH,LIAM SMITH,M,Arquitecto de Software,Senior,45,"Basilea, Suiza",Teletrabajo,"$60,000",S,9505405,Si
NOAH,JOHNSON,NOAH JOHNSON,M,Ingeniero de software II,Senior,25,"Zurich, Suiza",Presencial,"$36,000",C,9734761,No
OLIVER,WILLIAMS,OLIVER WILLIAMS,M,Arquitecto de Software,Senior,45,"Lyon, Francia",Hibrido,"$36,000",S,9593611,No
ELIJAH,BROWN,ELIJAH BROWN,M,Especialista de Software,Senior,38,"Lyon, Francia",Teletrabajo,"$36,000",C,9466722,No
WILLIAM,JONES,WILLIAM JONES,M,Arquitecto de Software,Senior,46,"Touluse, Francia",Teletrabajo,"$36,000",C,9621580,Si
JAMES,GARCIA,JAMES GARCIA,M,Arquitecto de Software,Senior,45,"Zurich, Suiza",Presencial,"$36,000",O,9670957,Si
BENJAMIN,MILLER,BENJAMIN MILLER,M,Ingeniero de software II,Senior,21,"Madrid, España",Presencial,"$36,000",O,9740553,No
LUCAS,DAVIS,LUCAS DAVIS,M,Arquitecto de Software,Senior,37,"Touluse, Francia",Presencial,"$24,000",S,8826230,Si
HENRY,RODRIGUEZ,HENRY RODRIGUEZ,M,Especialista de Software,Senior,24,"Basilea, Suiza",Presencial,"$24,000",S,9480184,Si
ALEXANDER,MARTINEZ,ALEXANDER MARTINEZ,M,Arquitecto de Software,Senior,25,"Ginebra, Suiza",Presencial,"$24,000",C,9439724,Si
MASON,HERNANDEZ,MASON HERNANDEZ,M,Desarrollador de software II,Senior,28,"Madrid, España",Presencial,"$24,000",S,9212559,No
MICHAEL,LOPEZ,MICHAEL LOPEZ,M,Ingeniero de software II,Senior,33,"Madrid, España",Hibrido,"$24,000",C,9850947,No
ETHAN,GONZALES,ETHAN GONZALES,M,Desarrollador de software II,Senior,31,"Madrid, España",Teletrabajo,"$24,000",C,9529734,No
DANIEL,WILSON,DANIEL WILSON,M,Ingeniero de software II,Senior,19,"Basilea, Suiza",Hibrido,"$24,000",C,8726025,Si
JACOB,ANDERSON,JACOB ANDERSON,M,Desarrollador de software II,Senior,37,"Touluse, Francia",Teletrabajo,"$21,000",C,9762528,Si
LOGAN,THOMAS,LOGAN THOMAS,M,Desarrollador de software II,Senior,21,"Lyon, Francia",Presencial,"$21,000",O,9199596,No
JACKSON,TAYLOR,JACKSON TAYLOR,M,Ingeniero de software I,Semi,53,"Touluse, Francia",Teletrabajo,"$18,000",S,9390432,No
LEVI,MOORE,LEVI MOORE,M,Desarrollador de software I,Semi,21,"Basilea, Suiza",Hibrido,"$18,000",O,9614580,No
SEBASTIAN,JACKSON,SEBASTIAN JACKSON,M,Desarrollador de software II,Semi,39,"Madrid, España",Hibrido,"$18,000",O,8901398,No
MATEO,MARTIN,MATEO MARTIN,M,Ingeniero de software I,Semi,25,"Basilea, Suiza",Presencial,"$18,000",C,9855870,No
JACK,LEE,JACK LEE,M,Desarrollador de software I,Semi,33,"Zurich, Suiza",Presencial,"$18,000",C,9378613,Si
OWEN,PEREZ,OWEN PEREZ,M,Desarrollador de software II,Semi,54,"Basilea, Suiza",Teletrabajo,"$18,000",O,8875546,Si
THEODORE,THOMPSON,THEODORE THOMPSON,M,Ingeniero de software I,Semi,46,"Madrid, España",Hibrido,"$18,000",O,9179556,Si
AIDEN,WHITE,AIDEN WHITE,M,Desarrollador de software I,Semi,40,"Zurich, Suiza",Teletrabajo,"$15,000",C,9863898,No
SAMUEL,HARRIS,SAMUEL HARRIS,M,Desarrollador de software II,Semi,19,"Basilea, Suiza",Hibrido,"$15,000",C,8931777,Si
JOSEPH,SANCHEZ,JOSEPH SANCHEZ,M,Ingeniero de software I,Semi,19,"Zurich, Suiza",Hibrido,"$15,000",O,9841623,No
JOHN,CLARK,JOHN CLARK,M,Desarrollador de software I,Semi,39,"Lyon, Francia",Hibrido,"$15,000",S,9111916,No
DAVID,RAMIREZ,DAVID RAMIREZ,M,Desarrollador de software II,Semi,34,"Ginebra, Suiza",Hibrido,"$15,000",S,8899076,No
WYATT,LEWIS,WYATT LEWIS,M,Ingeniero de software I,Semi,47,"Lyon, Francia",Hibrido,"$15,000",O,8832853,No
MATTHEW,ROBINSON,MATTHEW ROBINSON,M,Desarrollador de software I,Semi,26,"Madrid, España",Presencial,"$15,000",O,8778879,No
LUKE,WALKER,LUKE WALKER,M,Desarrollador de software II,Semi,53,"Zurich, Suiza",Teletrabajo,"$15,000",S,9283879,Si
ASHER,YOUNG,ASHER YOUNG,M,Ingeniero de software I,Semi,50,"Basilea, Suiza",Presencial,"$15,000",C,8745116,No
CARTER,ALLEN,CARTER ALLEN,M,Desarrollador de software I,Semi,35,"Zurich, Suiza",Hibrido,"$15,000",S,9138118,Si
JULIAN,KING,JULIAN KING,M,Desarrollador de software II,Semi,41,"Madrid, España",Teletrabajo,"$15,000",O,9793727,Si
GRAYSON,WRIGHT,GRAYSON WRIGHT,M,Ingeniero de software I,Semi,28,"Madrid, España",Teletrabajo,"$15,000",S,8856010,No
LEO,SCOTT,LEO SCOTT,M,Desarrollador de software I,Semi,39,"Lyon, Francia",Teletrabajo,"$15,000",O,9285094,No
JAYDEN,TORRES,JAYDEN TORRES,M,Desarrollador de software II,Semi,18,"Ginebra, Suiza",Teletrabajo,"$15,000",O,9510765,No
GABRIEL,NGUYEN,GABRIEL NGUYEN,M,Ingeniero de software I,Semi,52,"Madrid, España",Teletrabajo,"$15,000",O,8963963,No
ISAAC,HILL,ISAAC HILL,M,Desarrollador de software I,Semi,42,"Touluse, Francia",Hibrido,"$15,000",C,9695510,Si
LINCOLN,FLORES,LINCOLN FLORES,M,Ingeniero de software I,Semi,18,"Madrid, España",Presencial,"$15,000",O,8764362,No
ANTHONY,GREEN,ANTHONY GREEN,M,Desarrollador de software I,Semi,41,"Madrid, España",Presencial,"$15,000",C,9334649,Si
HUDSON,ADAMS,HUDSON ADAMS,M,Ingeniero de software I,Semi,18,"Zurich, Suiza",Presencial,"$15,000",C,9244055,Si
DYLAN,NELSON,DYLAN NELSON,M,Desarrollador de software I,Junior,48,"Lyon, Francia",Presencial,"$12,000",S,9230050,Si
EZRA,BAKER,EZRA BAKER,M,Ingeniero de software I,Junior,20,"Touluse, Francia",Teletrabajo,"$12,000",S,9062585,Si
THOMAS,HALL,THOMAS HALL,M,Desarrollador de software I,Junior,19,"Lyon, Francia",Hibrido,"$12,000",S,9065352,Si
CHARLES,RIVERA,CHARLES RIVERA,M,Ingeniero de software I,Junior,53,"Basilea, Suiza",Teletrabajo,"$12,000",S,8793448,No
CHRISTOPHER,CAMPBELL,CHRISTOPHER CAMPBELL,M,Desarrollador de software I,Junior,31,"Ginebra, Suiza",Presencial,"$12,000",O,8770815,Si
JAXON,MITCHELL,JAXON MITCHELL,M,Ingeniero de software I,Junior,32,"Lyon, Francia",Presencial,"$12,000",S,9249510,No
MAVERICK,CARTER,MAVERICK CARTER,M,Desarrollador de software I,Junior,38,"Zurich, Suiza",Presencial,"$12,000",S,9817444,Si
JOSIAH,ROBERTS,JOSIAH ROBERTS,M,Ingeniero de software I,Junior,51,"Zurich, Suiza",Hibrido,"$12,000",S,9339015,Si
ISAIAH,GOMEZ,ISAIAH GOMEZ,M,Desarrollador de software I,Junior,36,"Zurich, Suiza",Teletrabajo,"$12,000",C,9773936,No
ANDREW,PHILLIPS,ANDREW PHILLIPS,M,Ingeniero de software I,Junior,33,"Basilea, Suiza",Teletrabajo,"$8,400",C,9192149,Si
ELIAS,EVANS,ELIAS EVANS,M,Desarrollador de software I,Junior,32,"Zurich, Suiza",Presencial,"$8,400",O,8907086,Si
JOSHUA,TURNER,JOSHUA TURNER,M,Ingeniero de software I,Junior,40,"Lyon, Francia",Hibrido,"$6,000",O,8676656,Si
NATHAN,DIAZ,NATHAN DIAZ,M,Desarrollador de software I,Junior,49,"Lyon, Francia",Presencial,"$6,000",O,9152920,No
CALEB,PARKER,CALEB PARKER,M,Arquitecto de Software,Senior,51,"Touluse, Francia",Teletrabajo,"$37,000",S,8920427,No
RYAN,CRUZ,RYAN CRUZ,M,Arquitecto de Software,Senior,43,"Ginebra, Suiza",Presencial,"$41,000",C,9250699,Si
