Nombre_Empleado,Apellido_Empleado,Nombre_Completo,ID_Empleado,Año,Proyecto,Calidad,Satisfacción,Productividad,Trabajo en equipo,Reclamaciones
LIAM,SMITH,LIAM SMITH,1001,2022,JustVDB,10.81,0.85,0.81,0.48,99 Reclamaciones
NOAH,JOHNSON,NOAH JOHNSON,1002,2022,CloudConnect,25.45,0.74,0.83,0.69,63 Reclamaciones
OLIVER,WILLIAMS,OLIVER WILLIAMS,1003,2022,CyberSafe,28.69,0.76,0.74,0.52,66 Reclamaciones
ELIJAH,BROWN,ELIJAH BROWN,1004,2022,AIBoost,13.20,0.75,0.82,0.54,19 Reclamaciones
WILLIAM,JONES,WILLIAM JONES,1005,2022,AIBoost,9.44,0.89,0.86,0.5,16 Reclamaciones
JAMES,GARCIA,JAMES GARCIA,1006,2022,CyberSafe,13.28,0.88,0.72,0.68,73 Reclamaciones
BENJAMIN,MILLER,BENJAMIN MILLER,1007,2022,CloudConnect,27.35,0.73,0.77,0.7,12 Reclamaciones
LUCAS,DAVIS,LUCAS DAVIS,1008,2022,CloudConnect,11.09,0.82,0.68,0.7,22 Reclamaciones
HENRY,RODRIGUEZ,HENRY RODRIGUEZ,1009,2022,InnovaTech,12.18,0.89,0.9,0.57,7 Reclamaciones
ALEXANDER,MARTINEZ,ALEXANDER MARTINEZ,1010,2022,CloudConnect,22.36,0.98,0.73,0.7,74 Reclamaciones
MASON,HERNANDEZ,MASON HERNANDEZ,1011,2022,SmartNet,23.51,0.87,0.84,0.61,9 Reclamaciones
MICHAEL,LOPEZ,MICHAEL LOPEZ,1012,2022,SmartNet,12.73,0.81,0.85,0.47,49 Reclamaciones
ETHAN,GONZALES,ETHAN GONZALES,1013,2022,AIBoost,15.60,0.96,0.67,0.46,71 Reclamaciones
DANIEL,WILSON,DANIEL WILSON,1014,2022,CloudConnect,24.99,0.8,0.9,0.51,87 Reclamaciones
JACOB,ANDERSON,JACOB ANDERSON,1015,2022,CloudConnect,13.89,0.88,0.67,0.69,17 Reclamaciones
LOGAN,THOMAS,LOGAN THOMAS,1016,2022,JustVDB,23.11,0.91,0.8,0.44,11 Reclamaciones
JACKSON,TAYLOR,JACKSON TAYLOR,1017,2022,Vatro,13.25,0.73,0.78,0.62,32 Reclamaciones
LEVI,MOORE,LEVI MOORE,1018,2022,Vatro,9.02,0.77,0.79,0.68,73 Reclamaciones
SEBASTIAN,JACKSON,SEBASTIAN JACKSON,1019,2022,InnovaTech,9.57,0.81,0.67,0.65,86 Reclamaciones
MATEO,MARTIN,MATEO MARTIN,1020,2022,CyberSafe,23.40,0.74,0.74,0.59,10 Reclamaciones
JACK,LEE,JACK LEE,1021,2022,CloudConnect,15.56,0.85,0.76,0.55,17 Reclamaciones
OWEN,PEREZ,OWEN PEREZ,1022,2022,JustVDB,11.84,0.81,0.77,0.66,82 Reclamaciones
THEODORE,THOMPSON,THEODORE THOMPSON,1023,2022,AIBoost,14.89,0.88,0.73,0.48,36 Reclamaciones
AIDEN,WHITE,AIDEN WHITE,1024,2022,CloudConnect,10.91,0.99,0.65,0.58,79 Reclamaciones
SAMUEL,HARRIS,SAMUEL HARRIS,1025,2022,AIBoost,21.62,0.89,0.84,0.55,52 Reclamaciones
JOSEPH,SANCHEZ,JOSEPH SANCHEZ,1026,2022,JustVDB,15.67,0.73,0.87,0.48,86 Reclamaciones
JOHN,CLARK,JOHN CLARK,1027,2022,JustVDB,28.47,0.93,0.67,0.57,60 Reclamaciones
DAVID,RAMIREZ,DAVID RAMIREZ,1028,2022,AIBoost,10.95,0.78,0.89,0.43,85 Reclamaciones
WYATT,LEWIS,WYATT LEWIS,1029,2022,SmartNet,9.93,0.89,0.9,0.65,85 Reclamaciones
MATTHEW,ROBINSON,MATTHEW ROBINSON,1030,2022,CloudConnect,22.24,0.75,0.9,0.57,61 Reclamaciones
LUKE,WALKER,LUKE WALKER,1031,2022,Vatro,24.95,0.94,0.84,0.46,33 Reclamaciones
ASHER,YOUNG,ASHER YOUNG,1032,2022,Vatro,23.42,0.92,0.78,0.53,69 Reclamaciones
CARTER,ALLEN,CARTER ALLEN,1033,2022,CyberSafe,25.31,0.92,0.83,0.53,0 Reclamaciones
JULIAN,KING,JULIAN KING,1034,2022,CloudConnect,23.14,0.92,0.78,0.48,0 Reclamaciones
GRAYSON,WRIGHT,GRAYSON WRIGHT,1035,2022,CyberSafe,20.59,0.77,0.85,0.63,38 Reclamaciones
LEO,SCOTT,LEO SCOTT,1036,2022,JustVDB,27.18,0.94,0.72,0.63,38 Reclamaciones
JAYDEN,TORRES,JAYDEN TORRES,1037,2022,CloudConnect,14.03,0.81,0.85,0.44,70 Reclamaciones
